customer_id,signup_date,region,acquisition_channel,customer_segment,customer_status
CUST-00001,2024-03-26,North,affiliate,new,active
CUST-00002,2025-12-31,East,social,regular,inactive
CUST-00003,2025-09-09,North,organic,regular,active
CUST-00004,2025-02-18,North,email,new,active
CUST-00005,2025-02-12,West,organic,new,inactive
CUST-00006,2026-03-20,South,affiliate,regular,active
CUST-00007,2024-03-22,Central,social,regular,active
CUST-00008,2025-10-19,South,organic,regular,active
CUST-00009,2024-07-09,West,organic,regular,active
CUST-00010,2024-03-30,East,email,regular,active
CUST-00011,2025-05-11,West,paid_search,new,active
CUST-00012,2026-07-09,East,referral,regular,inactive
CUST-00013,2025-11-25,East,email,new,active
CUST-00014,2025-12-18,Central,email,regular,active
CUST-00015,2025-11-07,South,paid_search,new,active
CUST-00016,2026-01-11,North,email,new,inactive
CUST-00017,2025-04-29,West,referral,regular,active
CUST-00018,2024-05-01,West,organic,regular,active
CUST-00019,2026-03-03,North,paid_search,regular,active
CUST-00020,2025-03-01,East,organic,regular,active
CUST-00021,2025-04-17,Central,paid_search,high_value,inactive
CUST-00022,2024-12-16,West,email,regular,inactive
CUST-00023,2024-06-21,Central,social,high_value,active
CUST-00024,2026-05-24,East,social,regular,active
CUST-00025,2026-01-07,West,paid_search,regular,active
CUST-00026,2025-08-30,South,organic,regular,active
CUST-00027,2025-01-15,Central,paid_search,regular,active
CUST-00028,2026-02-15,South,affiliate,new,active
CUST-00029,2025-05-29,West,social,regular,active
CUST-00030,2025-02-22,South,paid_search,new,inactive
CUST-00031,2025-03-01,East,affiliate,new,active
CUST-00032,2024-08-03,West,organic,high_value,active
CUST-00033,2024-03-28,East,paid_search,new,active
CUST-00034,2025-06-07,Central,organic,regular,active
CUST-00035,2026-04-17,South,referral,regular,active
CUST-00036,2024-03-02,West,email,new,active
CUST-00037,2026-03-20,South,social,high_value,active
CUST-00038,2026-02-19,South,organic,new,active
CUST-00039,2024-09-18,East,organic,high_value,inactive
CUST-00040,2025-08-19,North,social,regular,inactive
CUST-00041,2024-06-05,North,paid_search,new,active
CUST-00042,2025-12-16,West,referral,new,active
CUST-00043,2025-10-22,West,email,new,active
CUST-00044,2024-11-30,West,paid_search,regular,active
CUST-00045,2024-03-05,North,email,new,inactive
CUST-00046,2026-07-04,South,referral,high_value,inactive
CUST-00047,2025-02-24,South,paid_search,new,active
CUST-00048,2026-04-22,West,social,regular,active
CUST-00049,2025-10-01,Central,referral,new,active
CUST-00050,2026-01-04,South,organic,high_value,active
CUST-00051,2025-12-17,West,referral,new,inactive
