order_item_id,order_id,product_id,product_category,quantity,unit_price,line_gross_amount,line_discount_amount,line_net_amount
ITEM-0000001,ORD-000001,PROD-0013,accessories,3,1286.49,3859.47,385.95,3473.52
ITEM-0000002,ORD-000001,PROD-0188,electronics,2,11805.83,23611.66,0.0,23611.66
ITEM-0000003,ORD-000002,PROD-0242,accessories,1,796.4,796.4,39.82,756.58
ITEM-0000004,ORD-000002,PROD-0125,accessories,2,1098.15,2196.3,0.0,2196.3
ITEM-0000005,ORD-000002,PROD-0146,electronics,1,10188.22,10188.22,2037.64,8150.58
ITEM-0000006,ORD-000002,PROD-0134,fitness,1,3781.37,3781.37,189.07,3592.3
ITEM-0000007,ORD-000003,PROD-0119,electronics,2,8156.48,16312.96,2446.94,13866.02
ITEM-0000008,ORD-000003,PROD-0074,home,2,4150.58,8301.16,830.12,7471.04
ITEM-0000009,ORD-000003,PROD-0297,accessories,2,241.89,483.78,0.0,483.78
ITEM-0000010,ORD-000003,PROD-0084,electronics,3,10019.47,30058.41,0.0,30058.41
ITEM-0000011,ORD-000004,PROD-0184,accessories,3,872.0,2616.0,0.0,2616.0
ITEM-0000012,ORD-000004,PROD-0119,home,3,2940.02,8820.06,0.0,8820.06
ITEM-0000013,ORD-000004,PROD-0243,home,3,877.52,2632.56,394.88,2237.68
ITEM-0000014,ORD-000005,PROD-0259,fitness,3,2292.79,6878.37,687.84,6190.53
ITEM-0000015,ORD-000006,PROD-0201,home,2,1705.82,3411.64,0.0,3411.64
ITEM-0000016,ORD-000007,PROD-0026,electronics,1,11324.69,11324.69,566.23,10758.46
ITEM-0000017,ORD-000007,PROD-0284,electronics,3,2287.18,6861.54,1029.23,5832.31
ITEM-0000018,ORD-000007,PROD-0220,beauty,1,1484.95,1484.95,222.74,1262.21
ITEM-0000019,ORD-000008,PROD-0230,fitness,3,1104.35,3313.05,331.31,2981.74
ITEM-0000020,ORD-000009,PROD-0278,accessories,1,628.49,628.49,62.85,565.64
ITEM-0000021,ORD-000010,PROD-0105,electronics,3,9151.74,27455.22,4118.28,23336.94
ITEM-0000022,ORD-000010,PROD-0159,accessories,2,877.25,1754.5,175.45,1579.05
ITEM-0000023,ORD-000010,PROD-0288,electronics,1,10122.44,10122.44,0.0,10122.44
ITEM-0000024,ORD-000010,PROD-0254,home,2,822.6,1645.2,329.04,1316.16
ITEM-0000025,ORD-000011,PROD-0183,accessories,2,2521.23,5042.46,0.0,5042.46
ITEM-0000026,ORD-000011,PROD-0044,accessories,2,3107.7,6215.4,0.0,6215.4
ITEM-0000027,ORD-000011,PROD-0107,home,1,3472.87,3472.87,347.29,3125.58
ITEM-0000028,ORD-000011,PROD-0117,electronics,1,3236.17,3236.17,485.43,2750.74
ITEM-0000029,ORD-000012,PROD-0270,accessories,1,651.63,651.63,65.16,586.47
ITEM-0000030,ORD-000013,PROD-0048,accessories,1,1909.87,1909.87,0.0,1909.87
ITEM-0000031,ORD-000014,PROD-0214,electronics,3,8049.94,24149.82,0.0,24149.82
ITEM-0000032,ORD-000014,PROD-0167,electronics,2,3479.13,6958.26,695.83,6262.43
ITEM-0000033,ORD-000014,PROD-0023,electronics,1,8831.74,8831.74,0.0,8831.74
ITEM-0000034,ORD-000014,PROD-0049,beauty,1,752.25,752.25,37.61,714.64
ITEM-0000035,ORD-000015,PROD-0300,beauty,2,938.24,1876.48,0.0,1876.48
ITEM-0000036,ORD-000015,PROD-0174,accessories,2,1194.21,2388.42,358.26,2030.16
ITEM-0000037,ORD-000015,PROD-0257,home,3,3418.81,10256.43,0.0,10256.43
ITEM-0000038,ORD-000016,PROD-0148,beauty,1,1376.23,1376.23,0.0,1376.23
ITEM-0000039,ORD-000016,PROD-0043,fitness,2,4371.26,8742.52,437.13,8305.39
ITEM-0000040,ORD-000016,PROD-0258,fitness,1,3112.07,3112.07,0.0,3112.07
ITEM-0000041,ORD-000017,PROD-0040,home,3,1673.61,5020.83,0.0,5020.83
ITEM-0000042,ORD-000018,PROD-0066,fitness,3,4287.34,12862.02,0.0,12862.02
ITEM-0000043,ORD-000019,PROD-0098,electronics,3,6062.01,18186.03,0.0,18186.03
ITEM-0000044,ORD-000020,PROD-0170,electronics,3,5414.26,16242.78,0.0,16242.78
ITEM-0000045,ORD-000020,PROD-0009,electronics,1,4957.97,4957.97,0.0,4957.97
ITEM-0000046,ORD-000020,PROD-0163,home,3,2754.77,8264.31,1652.86,6611.45
ITEM-0000047,ORD-000020,PROD-0230,home,3,333.38,1000.14,0.0,1000.14
ITEM-0000048,ORD-000021,PROD-0097,beauty,1,1272.61,1272.61,127.26,1145.35
ITEM-0000049,ORD-000021,PROD-0002,beauty,1,635.42,635.42,0.0,635.42
ITEM-0000050,ORD-000021,PROD-0200,fitness,1,1097.37,1097.37,109.74,987.63
ITEM-0000051,ORD-000021,PROD-0020,beauty,3,343.38,1030.14,206.03,824.11
ITEM-0000052,ORD-000022,PROD-0077,electronics,3,7232.1,21696.3,0.0,21696.3
ITEM-0000053,ORD-000022,PROD-0224,beauty,1,320.58,320.58,64.12,256.46
ITEM-0000054,ORD-000022,PROD-0159,fitness,2,5359.86,10719.72,535.99,10183.73
ITEM-0000055,ORD-000022,PROD-0052,beauty,1,1259.81,1259.81,62.99,1196.82
ITEM-0000056,ORD-000023,PROD-0146,home,3,815.51,2446.53,0.0,2446.53
ITEM-0000057,ORD-000023,PROD-0022,home,2,4940.76,9881.52,494.08,9387.44
ITEM-0000058,ORD-000024,PROD-0183,electronics,2,9548.37,19096.74,0.0,19096.74
ITEM-0000059,ORD-000024,PROD-0200,beauty,2,1796.41,3592.82,0.0,3592.82
ITEM-0000060,ORD-000024,PROD-0190,beauty,1,2040.91,2040.91,306.14,1734.77
ITEM-0000061,ORD-000025,PROD-0038,accessories,1,2875.31,2875.31,287.53,2587.78
ITEM-0000062,ORD-000025,PROD-0111,electronics,2,11135.49,22270.98,3340.65,18930.33
ITEM-0000063,ORD-000025,PROD-0018,fitness,1,1267.79,1267.79,253.56,1014.23
ITEM-0000064,ORD-000026,PROD-0084,accessories,2,1043.12,2086.24,208.62,1877.62
ITEM-0000065,ORD-000027,PROD-0179,electronics,1,11649.32,11649.32,0.0,11649.32
ITEM-0000066,ORD-000027,PROD-0030,beauty,3,1383.52,4150.56,0.0,4150.56
ITEM-0000067,ORD-000027,PROD-0166,beauty,1,1939.74,1939.74,96.99,1842.75
ITEM-0000068,ORD-000028,PROD-0036,accessories,3,3356.17,10068.51,503.43,9565.08
ITEM-0000069,ORD-000028,PROD-0052,fitness,2,687.29,1374.58,0.0,1374.58
ITEM-0000070,ORD-000028,PROD-0282,beauty,2,1927.6,3855.2,0.0,3855.2
ITEM-0000071,ORD-000028,PROD-0260,home,1,2609.73,2609.73,391.46,2218.27
ITEM-0000072,ORD-000029,PROD-0125,beauty,1,268.58,268.58,0.0,268.58
ITEM-0000073,ORD-000029,PROD-0027,beauty,2,736.93,1473.86,221.08,1252.78
ITEM-0000074,ORD-000029,PROD-0131,beauty,2,2490.94,4981.88,498.19,4483.69
ITEM-0000075,ORD-000029,PROD-0003,home,1,2777.88,2777.88,277.79,2500.09
ITEM-0000076,ORD-000030,PROD-0272,beauty,2,1954.68,3909.36,195.47,3713.89
ITEM-0000077,ORD-000031,PROD-0102,electronics,2,6337.37,12674.74,0.0,12674.74
ITEM-0000078,ORD-000031,PROD-0120,accessories,3,1543.2,4629.6,0.0,4629.6
ITEM-0000079,ORD-000031,PROD-0183,fitness,3,1383.2,4149.6,207.48,3942.12
ITEM-0000080,ORD-000031,PROD-0181,electronics,3,5822.45,17467.35,0.0,17467.35
ITEM-0000081,ORD-000032,PROD-0238,home,3,379.61,1138.83,0.0,1138.83
ITEM-0000082,ORD-000032,PROD-0068,fitness,2,5785.27,11570.54,0.0,11570.54
ITEM-0000083,ORD-000032,PROD-0283,beauty,3,2496.06,7488.18,0.0,7488.18
ITEM-0000084,ORD-000033,PROD-0224,electronics,1,7764.42,7764.42,1552.88,6211.54
ITEM-0000085,ORD-000033,PROD-0124,accessories,3,2890.11,8670.33,1300.55,7369.78
ITEM-0000086,ORD-000033,PROD-0237,accessories,1,2897.34,2897.34,0.0,2897.34
ITEM-0000087,ORD-000034,PROD-0266,beauty,3,1349.89,4049.67,0.0,4049.67
ITEM-0000088,ORD-000034,PROD-0022,accessories,3,1794.52,5383.56,269.18,5114.38
ITEM-0000089,ORD-000034,PROD-0238,beauty,2,414.67,829.34,0.0,829.34
ITEM-0000090,ORD-000034,PROD-0243,accessories,2,2950.16,5900.32,295.02,5605.3
ITEM-0000091,ORD-000035,PROD-0152,fitness,3,4144.82,12434.46,1865.17,10569.29
ITEM-0000092,ORD-000036,PROD-0286,home,1,4593.98,4593.98,0.0,4593.98
ITEM-0000093,ORD-000036,PROD-0160,electronics,3,10684.27,32052.81,0.0,32052.81
ITEM-0000094,ORD-000036,PROD-0213,electronics,2,9577.13,19154.26,0.0,19154.26
ITEM-0000095,ORD-000036,PROD-0230,electronics,2,6839.58,13679.16,0.0,13679.16
ITEM-0000096,ORD-000037,PROD-0116,fitness,1,4933.44,4933.44,0.0,4933.44
ITEM-0000097,ORD-000038,PROD-0075,home,2,4795.5,9591.0,1918.2,7672.8
ITEM-0000098,ORD-000038,PROD-0163,accessories,1,242.04,242.04,0.0,242.04
ITEM-0000099,ORD-000038,PROD-0146,accessories,2,233.01,466.02,0.0,466.02
ITEM-0000100,ORD-000039,PROD-0113,home,2,3029.97,6059.94,1211.99,4847.95
ITEM-0000101,ORD-000039,PROD-0015,home,2,2838.21,5676.42,0.0,5676.42
ITEM-0000102,ORD-000040,PROD-0130,accessories,2,1194.11,2388.22,238.82,2149.4
ITEM-0000103,ORD-000040,PROD-0149,accessories,2,1987.34,3974.68,0.0,3974.68
ITEM-0000104,ORD-000040,PROD-0014,home,1,3847.93,3847.93,0.0,3847.93
ITEM-0000105,ORD-000041,PROD-0177,electronics,3,7289.61,21868.83,0.0,21868.83
ITEM-0000106,ORD-000041,PROD-0039,beauty,3,1643.48,4930.44,986.09,3944.35
ITEM-0000107,ORD-000041,PROD-0166,home,2,2243.55,4487.1,0.0,4487.1
ITEM-0000108,ORD-000042,PROD-0066,electronics,1,10536.45,10536.45,1580.47,8955.98
ITEM-0000109,ORD-000042,PROD-0065,home,1,385.3,385.3,0.0,385.3
ITEM-0000110,ORD-000042,PROD-0072,fitness,3,4635.09,13905.27,0.0,13905.27
ITEM-0000111,ORD-000043,PROD-0266,fitness,3,507.64,1522.92,228.44,1294.48
ITEM-0000112,ORD-000044,PROD-0161,accessories,1,1067.4,1067.4,53.37,1014.03
ITEM-0000113,ORD-000044,PROD-0239,accessories,1,3272.91,3272.91,163.65,3109.26
ITEM-0000114,ORD-000044,PROD-0183,fitness,3,1908.34,5725.02,286.25,5438.77
ITEM-0000115,ORD-000045,PROD-0115,accessories,2,1260.53,2521.06,504.21,2016.85
ITEM-0000116,ORD-000045,PROD-0165,accessories,2,3022.3,6044.6,0.0,6044.6
ITEM-0000117,ORD-000046,PROD-0035,beauty,2,432.46,864.92,0.0,864.92
ITEM-0000118,ORD-000046,PROD-0198,home,1,1992.53,1992.53,0.0,1992.53
ITEM-0000119,ORD-000046,PROD-0238,accessories,2,3338.69,6677.38,0.0,6677.38
ITEM-0000120,ORD-000046,PROD-0274,fitness,1,3361.33,3361.33,672.27,2689.06
