order_id,customer_id,order_date,order_status,sales_channel,currency,gross_merchandise_amount,discount_amount,subtotal_amount,shipping_amount,tax_amount,order_total_amount
ORD-000001,CUST-01455,2025-09-25,completed,web,INR,27471.13,385.95,27085.18,0,4875.33,31960.51
ORD-000002,CUST-01748,2025-08-11,completed,mobile_app,INR,16962.29,2266.53,14695.76,0,2645.24,17341.0
ORD-000003,CUST-00287,2025-01-17,completed,mobile_app,INR,55156.31,3277.06,51879.25,0,9338.26,61217.51
ORD-000004,CUST-00493,2026-05-24,completed,mobile_app,INR,14068.619999999999,394.88,13673.74,0,2461.27,16135.01
ORD-000005,CUST-00075,2026-07-07,pending,web,INR,6878.37,687.84,6190.53,0,1114.3,7304.83
ORD-000006,CUST-00978,2026-05-07,completed,web,INR,3411.64,0.0,3411.64,0,614.1,4025.74
ORD-000007,CUST-00989,2025-06-28,completed,web,INR,19671.18,1818.2,17852.98,0,3213.54,21066.52
ORD-000008,CUST-00060,2026-02-27,cancelled,web,INR,3313.05,331.31,2981.74,0,536.71,3518.45
ORD-000009,CUST-01324,2026-07-27,completed,mobile_app,INR,628.49,62.85,565.64,79,101.82,746.46
ORD-000010,CUST-00018,2025-09-03,completed,mobile_app,INR,40977.36,4622.7699999999995,36354.59,0,6543.83,42898.42
ORD-000011,CUST-01586,2026-04-30,completed,web,INR,17966.9,832.72,17134.18,0,3084.15,20218.33
ORD-000012,CUST-01411,2025-11-30,completed,web,INR,651.63,65.16,586.47,99,105.56,791.03
ORD-000013,CUST-01631,2026-01-11,completed,web,INR,1909.87,0.0,1909.87,79,343.78,2332.65
ORD-000014,CUST-00237,2026-03-22,pending,mobile_app,INR,40692.07,733.44,39958.63,0,7192.55,47151.18
ORD-000015,CUST-01741,2025-06-10,completed,web,INR,14521.33,358.26,14163.07,0,2549.35,16712.42
ORD-000016,CUST-01096,2025-09-03,cancelled,web,INR,13230.82,437.13,12793.689999999999,0,2302.86,15096.55
ORD-000017,CUST-01727,2026-06-28,completed,web,INR,5020.83,0.0,5020.83,0,903.75,5924.58
ORD-000018,CUST-01393,2026-07-28,shipped,mobile_app,INR,12862.02,0.0,12862.02,0,2315.16,15177.18
ORD-000019,CUST-01313,2026-05-12,completed,web,INR,18186.03,0.0,18186.03,0,3273.49,21459.52
ORD-000020,CUST-00065,2025-09-01,shipped,web,INR,30465.2,1652.86,28812.34,0,5186.22,33998.56
ORD-000021,CUST-01384,2026-07-14,completed,mobile_app,INR,4035.54,443.03,3592.5099999999998,0,646.65,4239.16
ORD-000022,CUST-00898,2025-09-19,completed,mobile_app,INR,33996.409999999996,663.1,33333.31,0,6000.0,39333.31
ORD-000023,CUST-01699,2026-07-05,completed,web,INR,12328.050000000001,494.08,11833.970000000001,0,2130.11,13964.08
ORD-000024,CUST-01369,2026-07-18,completed,mobile_app,INR,24730.47,306.14,24424.33,0,4396.38,28820.71
ORD-000025,CUST-00149,2026-07-12,cancelled,web,INR,26414.08,3881.74,22532.34,0,4055.82,26588.16
ORD-000026,CUST-01780,2026-07-28,completed,mobile_app,INR,2086.24,208.62,1877.62,49,337.97,2264.59
ORD-000027,CUST-00126,2025-10-29,completed,web,INR,17739.62,96.99,17642.63,0,3175.67,20818.3
ORD-000028,CUST-00599,2025-11-14,returned,mobile_app,INR,17908.02,894.89,17013.13,0,3062.36,20075.49
ORD-000029,CUST-00434,2026-04-28,completed,mobile_app,INR,9502.2,997.0600000000001,8505.14,0,1530.93,10036.07
ORD-000030,CUST-01949,2025-05-14,completed,web,INR,3909.36,195.47,3713.89,0,668.5,4382.39
ORD-000031,CUST-00307,2026-03-10,cancelled,web,INR,38921.29,207.48,38713.81,0,6968.49,45682.3
ORD-000032,CUST-01690,2025-04-13,shipped,mobile_app,INR,20197.550000000003,0.0,20197.550000000003,0,3635.56,23833.11
ORD-000033,CUST-00445,2026-06-01,completed,web,INR,19332.09,2853.4300000000003,16478.66,0,2966.16,19444.82
ORD-000034,CUST-01302,2026-02-06,completed,mobile_app,INR,16162.89,564.2,15598.69,0,2807.76,18406.45
ORD-000035,CUST-00181,2026-07-03,completed,web,INR,12434.46,1865.17,10569.29,0,1902.47,12471.76
ORD-000036,CUST-00784,2025-09-17,completed,web,INR,69480.20999999999,0.0,69480.20999999999,0,12506.44,81986.65
ORD-000037,CUST-01247,2026-06-13,shipped,mobile_app,INR,4933.44,0.0,4933.44,0,888.02,5821.46
ORD-000038,CUST-01423,2025-12-06,pending,web,INR,10299.06,1918.2,8380.86,0,1508.55,9889.41
ORD-000039,CUST-01745,2025-08-18,completed,mobile_app,INR,11736.36,1211.99,10524.369999999999,0,1894.39,12418.76
ORD-000040,CUST-01633,2025-04-28,completed,web,INR,10210.83,238.82,9972.01,0,1794.96,11766.97
ORD-000041,CUST-01038,2025-04-02,shipped,web,INR,31286.370000000003,986.09,30300.280000000002,0,5454.05,35754.33
ORD-000042,CUST-00607,2026-05-30,completed,web,INR,24827.02,1580.47,23246.55,0,4184.38,27430.93
ORD-000043,CUST-00523,2026-03-09,cancelled,web,INR,1522.92,228.44,1294.48,79,233.01,1606.49
ORD-000044,CUST-01986,2026-04-14,completed,mobile_app,INR,10065.33,503.27,9562.060000000001,0,1721.17,11283.23
ORD-000045,CUST-01217,2026-05-14,completed,web,INR,8565.66,504.21,8061.450000000001,0,1451.06,9512.51
ORD-000046,CUST-01818,2025-12-17,shipped,web,INR,12896.16,672.27,12223.89,0,2200.3,14424.19
ORD-000047,CUST-00868,2026-05-31,pending,mobile_app,INR,5442.21,0.0,5442.21,0,979.6,6421.81
ORD-000048,CUST-00972,2025-04-01,completed,web,INR,21389.280000000002,159.12,21230.160000000003,0,3821.43,25051.59
ORD-000049,CUST-01652,2025-11-07,cancelled,web,INR,44069.63,1084.14,42985.49,0,7737.39,50722.88
ORD-000050,CUST-01446,2025-03-04,completed,mobile_app,INR,13343.369999999999,1516.4,11826.970000000001,0,2128.85,13955.82
ORD-000051,CUST-00402,2026-05-26,completed,mobile_app,INR,12325.929999999998,541.4,11784.529999999999,0,2121.22,13905.75
ORD-000052,CUST-01049,2025-10-13,completed,web,INR,16543.55,1446.69,15096.86,0,2717.43,17814.29
ORD-000053,CUST-00427,2026-05-30,completed,mobile_app,INR,3767.82,0.0,3767.82,0,678.21,4446.03
ORD-000054,CUST-01522,2026-02-09,shipped,web,INR,24639.32,1076.94,23562.38,0,4241.23,27803.61
ORD-000055,CUST-00060,2025-11-14,completed,web,INR,13052.78,1337.65,11715.130000000001,0,2108.72,13823.85
ORD-000056,CUST-01654,2026-01-12,completed,web,INR,7045.820000000001,326.12,6719.7,0,1209.55,7929.25
ORD-000057,CUST-01859,2025-08-07,completed,mobile_app,INR,29602.12,1811.71,27790.410000000003,0,5002.27,32792.68
ORD-000058,CUST-00047,2025-07-01,cancelled,web,INR,8955.59,485.03000000000003,8470.56,0,1524.7,9995.26
ORD-000059,CUST-01261,2026-05-29,returned,mobile_app,INR,14606.0,675.01,13930.99,0,2507.58,16438.57
ORD-000060,CUST-00159,2025-10-01,completed,web,INR,5510.52,826.58,4683.94,0,843.11,5527.05
ORD-000061,CUST-00721,2025-08-22,completed,web,INR,3564.4,0.0,3564.4,0,641.59,4205.99
ORD-000062,CUST-00673,2025-08-25,pending,mobile_app,INR,5674.58,680.25,4994.33,0,898.98,5893.31
ORD-000063,CUST-01040,2026-04-08,completed,mobile_app,INR,28308.14,1304.1299999999999,27004.010000000002,0,4860.72,31864.73
ORD-000064,CUST-01836,2025-07-22,cancelled,web,INR,28696.44,532.03,28164.409999999996,0,5069.59,33234.0
ORD-000065,CUST-00924,2026-02-19,completed,web,INR,1573.98,157.4,1416.58,79,254.98,1750.56
ORD-000066,CUST-00797,2026-07-05,returned,mobile_app,INR,29350.2,0.0,29350.2,0,5283.04,34633.24
ORD-000067,CUST-00186,2026-06-25,completed,web,INR,706.22,0.0,706.22,99,127.12,932.34
ORD-000068,CUST-01776,2025-03-16,completed,web,INR,5596.8,559.68,5037.12,0,906.68,5943.8
ORD-000069,CUST-00630,2026-01-12,completed,web,INR,10519.220000000001,0.0,10519.220000000001,0,1893.46,12412.68
ORD-000070,CUST-00925,2025-01-03,completed,mobile_app,INR,6658.95,0.0,6658.95,0,1198.61,7857.56
ORD-000071,CUST-00185,2026-05-07,completed,web,INR,19349.43,598.73,18750.7,0,3375.13,22125.83
ORD-000072,CUST-00578,2026-03-17,pending,web,INR,2345.94,351.89,1994.05,49,358.93,2401.98
ORD-000073,CUST-01107,2026-04-29,completed,web,INR,720.72,45.66,675.0600000000001,99,121.51,895.57
