payment_id,order_id,transaction_date,transaction_type,payment_method,transaction_amount,transaction_status
PAY-0000001,ORD-000001,2025-09-25,payment,credit_card,31960.51,successful
PAY-0000002,ORD-000002,2025-08-11,payment,debit_card,17341.0,successful
PAY-0000003,ORD-000003,2025-01-17,payment,credit_card,61217.51,successful
PAY-0000004,ORD-000004,2026-05-24,payment,debit_card,16135.01,successful
PAY-0000005,ORD-000005,2026-07-07,payment,credit_card,7304.83,pending
PAY-0000006,ORD-000006,2026-05-07,payment,net_banking,4025.74,successful
PAY-0000007,ORD-000007,2025-06-28,payment,credit_card,21066.52,successful
PAY-0000008,ORD-000008,2026-02-27,payment,net_banking,3518.45,failed
PAY-0000009,ORD-000009,2026-07-27,payment,net_banking,746.46,successful
PAY-0000010,ORD-000010,2025-09-03,payment,net_banking,42898.42,successful
PAY-0000011,ORD-000011,2026-04-30,payment,credit_card,20218.33,successful
PAY-0000012,ORD-000012,2025-11-30,payment,wallet,791.03,successful
PAY-0000013,ORD-000013,2026-01-11,payment,credit_card,2332.65,successful
PAY-0000014,ORD-000014,2026-03-22,payment,wallet,47151.18,pending
PAY-0000015,ORD-000015,2025-06-10,payment,wallet,16712.42,successful
PAY-0000016,ORD-000016,2025-09-03,payment,upi,15096.55,failed
PAY-0000017,ORD-000017,2026-06-28,payment,credit_card,5924.58,successful
PAY-0000018,ORD-000018,2026-07-28,payment,debit_card,15177.18,successful
PAY-0000019,ORD-000019,2026-05-12,payment,net_banking,21459.52,successful
PAY-0000020,ORD-000020,2025-09-01,payment,upi,33998.56,successful
PAY-0000021,ORD-000021,2026-07-14,payment,debit_card,4239.16,successful
PAY-0000022,ORD-000022,2025-09-19,payment,wallet,39333.31,successful
PAY-0000023,ORD-000023,2026-07-05,payment,net_banking,13964.08,successful
PAY-0000024,ORD-000024,2026-07-18,payment,credit_card,28820.71,successful
PAY-0000025,ORD-000025,2026-07-12,payment,debit_card,26588.16,failed
PAY-0000026,ORD-000026,2026-07-28,payment,upi,2264.59,successful
PAY-0000027,ORD-000027,2025-10-29,payment,credit_card,20818.3,successful
PAY-0000028,ORD-000028,2025-11-14,payment,upi,20075.49,successful
PAY-0000029,ORD-000029,2026-04-28,payment,net_banking,10036.07,successful
PAY-0000030,ORD-000030,2025-05-14,payment,credit_card,4382.39,successful
PAY-0000031,ORD-000031,2026-03-10,payment,net_banking,45682.3,failed
PAY-0000032,ORD-000032,2025-04-13,payment,debit_card,23833.11,successful
PAY-0000033,ORD-000033,2026-06-01,payment,debit_card,19444.82,successful
PAY-0000034,ORD-000034,2026-02-06,payment,credit_card,18406.45,successful
PAY-0000035,ORD-000035,2026-07-03,payment,credit_card,12471.76,successful
PAY-0000036,ORD-000036,2025-09-17,payment,upi,81986.65,successful
PAY-0000037,ORD-000037,2026-06-13,payment,upi,5821.46,successful
PAY-0000038,ORD-000038,2025-12-06,payment,debit_card,9889.41,pending
PAY-0000039,ORD-000039,2025-08-18,payment,net_banking,12418.76,successful
PAY-0000040,ORD-000040,2025-04-28,payment,credit_card,11766.97,successful
PAY-0000041,ORD-000041,2025-04-02,payment,debit_card,35754.33,successful
PAY-0000042,ORD-000042,2026-05-30,payment,debit_card,27430.93,successful
PAY-0000043,ORD-000043,2026-03-09,payment,upi,1606.49,failed
PAY-0000044,ORD-000044,2026-04-14,payment,wallet,11283.23,successful
PAY-0000045,ORD-000045,2026-05-14,payment,debit_card,9512.51,successful
PAY-0000046,ORD-000046,2025-12-17,payment,credit_card,14424.19,successful
PAY-0000047,ORD-000047,2026-05-31,payment,upi,6421.81,pending
PAY-0000048,ORD-000048,2025-04-01,payment,credit_card,25051.59,successful
PAY-0000049,ORD-000049,2025-11-07,payment,net_banking,50722.88,failed
PAY-0000050,ORD-000050,2025-03-04,payment,upi,13955.82,successful
