refund_id,order_id,refund_date,refund_amount,refund_reason,refund_status
REF-000001,ORD-000028,2025-12-07,13062.71,late_delivery,completed
REF-000002,ORD-000059,2026-06-08,9490.45,other,completed
REF-000003,ORD-000066,2026-07-09,18572.42,quality_issue,completed
REF-000004,ORD-000085,2026-03-29,5889.54,customer_return,completed
REF-000005,ORD-000086,2025-10-29,3770.85,other,completed
REF-000006,ORD-000093,2026-07-18,6757.55,wrong_item,completed
REF-000007,ORD-000108,2026-05-09,2599.49,late_delivery,pending
REF-000008,ORD-000127,2026-06-27,20735.62,customer_return,completed
REF-000009,ORD-000132,2025-05-11,7017.01,customer_return,completed
REF-000010,ORD-000134,2026-04-21,3824.92,quality_issue,completed
REF-000011,ORD-000137,2025-03-24,16262.19,customer_return,completed
REF-000012,ORD-000142,2026-06-28,5301.79,customer_return,completed
REF-000013,ORD-000147,2026-07-19,4605.64,damaged_item,completed
REF-000014,ORD-000152,2026-06-03,15398.5,damaged_item,completed
REF-000015,ORD-000159,2026-07-24,5101.06,late_delivery,completed
REF-000016,ORD-000201,2026-07-31,527.48,damaged_item,completed
REF-000017,ORD-000202,2025-05-09,2977.56,wrong_item,completed
REF-000018,ORD-000208,2026-04-24,5390.83,late_delivery,completed
REF-000019,ORD-000210,2026-04-10,3107.91,damaged_item,completed
REF-000020,ORD-000215,2025-10-24,2358.99,customer_return,pending
REF-000021,ORD-000230,2026-03-19,13343.63,customer_return,completed
REF-000022,ORD-000233,2026-02-09,6576.87,damaged_item,completed
REF-000023,ORD-000278,2025-07-20,7799.14,damaged_item,completed
REF-000024,ORD-000283,2026-07-31,11734.52,other,completed
REF-000025,ORD-000286,2025-08-30,12587.91,quality_issue,completed
REF-000026,ORD-000297,2026-03-17,12235.25,damaged_item,completed
REF-000027,ORD-000306,2026-03-04,8648.96,customer_return,pending
REF-000028,ORD-000307,2025-06-03,5916.16,customer_return,completed
REF-000029,ORD-000311,2026-01-22,4669.93,damaged_item,completed
REF-000030,ORD-000315,2026-06-28,7638.53,damaged_item,completed
REF-000031,ORD-000317,2025-10-10,5046.87,wrong_item,completed
REF-000032,ORD-000338,2025-10-27,2732.29,customer_return,completed
REF-000033,ORD-000361,2026-01-29,1475.99,quality_issue,completed
REF-000034,ORD-000362,2025-10-08,18282.51,wrong_item,completed
REF-000035,ORD-000368,2025-06-21,10816.18,damaged_item,completed
REF-000036,ORD-000378,2026-04-25,11405.0,late_delivery,completed
REF-000037,ORD-000382,2025-07-31,14446.5,quality_issue,completed
REF-000038,ORD-000384,2026-07-31,2960.75,customer_return,completed
REF-000039,ORD-000397,2025-09-27,2176.8,other,completed
REF-000040,ORD-000410,2026-03-22,2684.12,other,completed
REF-000041,ORD-000426,2026-01-21,969.62,wrong_item,completed
REF-000042,ORD-000427,2026-02-04,716.88,quality_issue,completed
REF-000043,ORD-000441,2026-07-23,19680.28,damaged_item,completed
REF-000044,ORD-000454,2026-06-07,133.66,damaged_item,completed
REF-000045,ORD-000457,2025-01-29,12270.03,other,completed
REF-000046,ORD-000486,2026-07-31,12819.83,damaged_item,completed
REF-000047,ORD-000498,2026-06-12,2036.62,damaged_item,completed
REF-000048,ORD-000528,2025-08-13,24372.46,late_delivery,completed
REF-000049,ORD-000529,2026-01-22,2703.22,damaged_item,completed
REF-000050,ORD-000542,2025-11-17,13275.11,wrong_item,completed
REF-000051,ORD-000558,2025-07-06,1735.49,wrong_item,pending
REF-000052,ORD-000559,2026-03-04,10032.15,damaged_item,completed
REF-000053,ORD-000564,2026-01-07,17657.22,quality_issue,completed
REF-000054,ORD-000596,2025-05-20,3601.28,damaged_item,pending
REF-000055,ORD-000599,2025-10-08,3822.8,damaged_item,completed
REF-000056,ORD-000618,2026-03-16,12269.46,damaged_item,pending
