session_id,customer_id,session_start,traffic_source,device_type,started_checkout,completed_purchase,order_id
SES-0000001,CUST-00710,2026-01-23 21:11:00,organic_search,desktop,False,False,
SES-0000002,CUST-00497,2026-03-25 09:34:00,organic_search,mobile,False,False,
SES-0000003,CUST-00768,2026-02-16 17:12:00,email,mobile,False,False,
SES-0000004,,2025-10-11 17:43:00,email,mobile,False,False,
SES-0000005,CUST-01665,2026-01-12 23:33:00,affiliate,desktop,True,False,
SES-0000006,CUST-01831,2026-03-14 11:06:00,social,mobile,False,False,
SES-0000007,CUST-01036,2026-04-21 15:55:00,social,mobile,False,False,
SES-0000008,CUST-00116,2026-06-05 01:42:00,social,mobile,False,False,
SES-0000009,CUST-00802,2025-08-10 06:24:00,direct,mobile,False,False,
SES-0000010,CUST-01148,2026-02-02 02:08:00,direct,mobile,True,True,ORD-007271
SES-0000011,,2025-01-19 22:20:00,paid_search,tablet,False,False,
SES-0000012,,2025-02-19 22:15:00,affiliate,desktop,False,False,
SES-0000013,CUST-01311,2026-03-22 23:40:00,paid_search,mobile,True,True,ORD-007604
SES-0000014,CUST-01853,2026-01-02 08:16:00,paid_search,mobile,False,False,
SES-0000015,CUST-00641,2026-02-04 21:30:00,paid_search,mobile,False,False,
SES-0000016,CUST-00539,2025-12-18 16:15:00,email,desktop,True,True,ORD-000861
SES-0000017,CUST-01046,2026-07-25 05:02:00,direct,desktop,True,True,ORD-005391
SES-0000018,CUST-00689,2025-03-24 01:05:00,direct,tablet,False,False,
SES-0000019,CUST-01039,2025-01-12 04:18:00,direct,tablet,False,False,
SES-0000020,CUST-00200,2025-09-25 22:27:00,social,tablet,False,False,
SES-0000021,,2025-04-11 01:21:00,direct,desktop,False,False,
SES-0000022,,2025-06-18 17:46:00,organic_search,desktop,False,False,
SES-0000023,CUST-00744,2026-02-11 20:41:00,paid_search,mobile,False,False,
SES-0000024,CUST-00161,2026-03-06 13:44:00,paid_search,mobile,False,False,
SES-0000025,,2025-05-13 23:16:00,direct,mobile,True,False,
SES-0000026,CUST-00688,2025-02-12 15:14:00,email,desktop,False,False,
SES-0000027,CUST-01152,2025-10-01 18:29:00,organic_search,mobile,False,False,
SES-0000028,,2025-03-01 02:22:00,paid_search,mobile,False,False,
SES-0000029,CUST-01722,2025-04-24 11:14:00,paid_search,mobile,False,False,
SES-0000030,CUST-01763,2025-11-22 22:37:00,organic_search,mobile,False,False,
SES-0000031,CUST-00598,2025-04-05 23:54:00,paid_search,desktop,False,False,
SES-0000032,CUST-01899,2026-03-11 23:35:00,social,mobile,False,False,
SES-0000033,,2025-10-03 13:30:00,organic_search,mobile,False,False,
SES-0000034,CUST-01670,2026-01-27 05:04:00,social,tablet,True,True,ORD-005227
SES-0000035,,2026-04-13 21:59:00,email,mobile,False,False,
SES-0000036,,2026-04-08 15:08:00,organic_search,mobile,False,False,
SES-0000037,CUST-00548,2026-06-26 14:17:00,organic_search,mobile,True,True,ORD-005192
SES-0000038,,2025-05-26 16:33:00,affiliate,mobile,False,False,
SES-0000039,CUST-00363,2025-12-08 02:53:00,direct,mobile,True,False,
SES-0000040,CUST-00147,2025-11-09 09:01:00,paid_search,mobile,True,True,ORD-003773
SES-0000041,CUST-01925,2025-02-12 18:50:00,email,mobile,False,False,
SES-0000042,,2026-02-28 22:56:00,social,mobile,False,False,
SES-0000043,,2025-04-05 20:21:00,social,mobile,False,False,
SES-0000044,CUST-01953,2025-04-18 04:13:00,social,tablet,False,False,
SES-0000045,CUST-01689,2026-02-08 09:57:00,paid_search,mobile,False,False,
SES-0000046,CUST-01142,2025-08-19 07:23:00,organic_search,desktop,False,False,
SES-0000047,,2026-03-21 22:04:00,social,mobile,False,False,
SES-0000048,CUST-01427,2025-11-08 13:45:00,affiliate,desktop,False,False,
SES-0000049,CUST-01683,2025-08-11 07:12:00,social,mobile,False,False,
SES-0000050,,2026-07-11 04:22:00,organic_search,mobile,False,False,
SES-0000051,,2025-11-18 05:34:00,organic_search,mobile,False,False,
SES-0000052,CUST-00959,2026-06-15 03:19:00,organic_search,mobile,False,False,
SES-0000053,CUST-01687,2025-04-11 21:17:00,paid_search,mobile,False,False,
SES-0000054,CUST-01206,2025-01-17 13:00:00,organic_search,mobile,False,False,
SES-0000055,CUST-00909,2025-05-20 02:15:00,affiliate,desktop,False,False,
SES-0000056,,2025-07-31 12:01:00,social,mobile,False,False,
SES-0000057,CUST-00011,2025-09-02 06:24:00,social,desktop,False,False,
SES-0000058,,2025-12-26 11:10:00,social,desktop,False,False,
SES-0000059,CUST-01738,2026-06-15 06:26:00,organic_search,mobile,True,False,
SES-0000060,,2026-04-23 21:01:00,email,tablet,False,False,
SES-0000061,CUST-00132,2025-10-12 04:08:00,paid_search,desktop,False,False,
SES-0000062,CUST-01371,2026-06-19 16:56:00,direct,tablet,False,False,
SES-0000063,,2026-05-17 05:24:00,paid_search,mobile,False,False,
SES-0000064,CUST-00586,2025-01-28 22:53:00,social,mobile,True,True,ORD-003093
SES-0000065,CUST-01163,2025-03-16 10:13:00,social,mobile,False,False,
SES-0000066,,2026-07-22 02:57:00,paid_search,mobile,True,False,
SES-0000067,,2026-05-29 03:28:00,paid_search,mobile,False,False,
SES-0000068,CUST-01325,2025-12-06 08:55:00,organic_search,mobile,False,False,
SES-0000069,CUST-00310,2026-03-03 07:12:00,paid_search,mobile,False,False,
SES-0000070,CUST-01486,2025-05-14 01:53:00,paid_search,desktop,True,True,ORD-005735
SES-0000071,CUST-00884,2026-04-24 16:29:00,paid_search,mobile,False,False,
SES-0000072,CUST-00357,2026-04-09 16:37:00,direct,mobile,False,False,
SES-0000073,CUST-01109,2025-09-12 10:20:00,organic_search,mobile,True,False,
SES-0000074,CUST-01316,2025-02-14 21:43:00,paid_search,desktop,False,False,
SES-0000075,CUST-00206,2025-09-16 16:03:00,organic_search,mobile,False,False,
SES-0000076,,2026-02-15 15:20:00,organic_search,desktop,False,False,
SES-0000077,,2025-10-20 20:28:00,affiliate,desktop,False,False,
SES-0000078,CUST-00655,2026-07-23 06:03:00,social,desktop,True,True,ORD-006266
